train_start,train_end,test_end,n_train,n_test,acc,precision,recall,f1,equity_start,equity_end,trades,wins,losses
2022-01-01,2022-06-30,2022-07-14,4060,310,0.5483870967741935,0.5454545454545454,0.9700598802395209,0.6982758620689655,1000.0,989.9175643235724,28,12,16
2022-01-15,2022-07-14,2022-07-28,4079,319,0.4702194357366771,0.5,0.047337278106508875,0.08648648648648649,989.9175643235724,990.9339213910638,29,16,13
2022-01-29,2022-07-28,2022-08-11,4089,305,0.4557377049180328,0.43243243243243246,0.20512820512820512,0.2782608695652174,990.9339213910638,976.4513185072171,29,11,18
2022-02-12,2022-08-11,2022-08-25,4098,311,0.4533762057877814,0.391304347826087,0.24,0.2975206611570248,976.4513185072171,965.863525299124,29,11,18
2022-02-26,2022-08-25,2022-09-08,4100,317,0.4605678233438486,0.40487804878048783,0.6287878787878788,0.49258160237388726,965.863525299124,946.5755699335865,28,7,21
2022-03-12,2022-09-08,2022-09-22,4108,306,0.4803921568627451,0.47513812154696133,0.5733333333333334,0.5196374622356495,946.5755699335865,946.5185721724134,29,16,13
2022-03-26,2022-09-22,2022-10-06,4111,308,0.5876623376623377,0.573170731707317,0.8650306748466258,0.6894865525672371,946.5185721724134,940.136718935868,28,14,14
2022-04-09,2022-10-06,2022-10-20,4119,302,0.5165562913907285,0.48535564853556484,0.8345323741007195,0.6137566137566137,940.136718935868,931.8168171578183,28,12,16
2022-04-23,2022-10-20,2022-11-03,4129,299,0.4214046822742475,0.41968911917098445,0.5704225352112676,0.4835820895522388,931.8168171578183,925.8223849479558,27,13,14
2022-05-07,2022-11-03,2022-11-17,4143,296,0.4391891891891892,0.3915343915343915,0.592,0.4713375796178344,925.8223849479558,926.2654256494307,28,16,12
2022-05-21,2022-11-17,2022-12-01,4121,308,0.5357142857142857,0.5609756097560976,0.5644171779141104,0.5626911314984709,926.2654256494307,923.1871142520888,27,15,12
2022-06-04,2022-12-01,2022-12-15,4125,298,0.4798657718120805,0.5194805194805194,0.4968944099378882,0.5079365079365079,923.1871142520888,916.6381665298705,25,12,13
2022-06-18,2022-12-15,2022-12-29,4110,297,0.5050505050505051,0.5609756097560976,0.2929936305732484,0.38493723849372385,916.6381665298705,917.4916113933991,21,14,7
2022-07-02,2022-12-29,2023-01-12,4086,300,0.52,0.624,0.44571428571428573,0.52,917.4916113933991,913.9741761563829,9,3,6
2022-07-16,2023-01-12,2023-01-26,4074,293,0.45051194539249145,0.5597826086956522,0.5628415300546448,0.5613079019073569,913.9741761563829,905.1110681535864,29,11,18
2022-07-30,2023-01-26,2023-02-09,4052,310,0.5838709677419355,0.5290322580645161,0.5942028985507246,0.5597269624573379,905.1110681535864,904.5006170636776,28,16,12
2022-08-13,2023-02-09,2023-02-23,4047,296,0.47297297297297297,0.6129032258064516,0.2235294117647059,0.3275862068965517,904.5006170636776,894.3712875527368,29,10,19
2022-08-27,2023-02-23,2023-03-09,4032,298,0.6040268456375839,0.5636363636363636,0.248,0.34444444444444444,894.3712875527368,898.1827169228355,28,19,9
2022-09-10,2023-03-09,2023-03-23,4013,296,0.40878378378378377,0.4838709677419355,0.08620689655172414,0.14634146341463414,898.1827169228355,900.1954468303794,28,16,12
2022-09-24,2023-03-23,2023-04-06,4005,313,0.5271565495207667,0.5384615384615384,0.48427672955974843,0.5099337748344371,900.1954468303794,895.4541578098675,29,14,15
2022-10-08,2023-04-06,2023-04-20,4014,305,0.5540983606557377,0.5478260869565217,0.42857142857142855,0.48091603053435117,895.4541578098675,893.2523007087648,20,10,10
2022-10-22,2023-04-20,2023-05-04,4022,290,0.49310344827586206,0.5038167938931297,0.44594594594594594,0.4731182795698925,893.2523007087648,888.9569983048208,29,14,15
2022-11-05,2023-05-04,2023-05-18,4004,308,0.5097402597402597,0.4968152866242038,0.52,0.50814332247557,888.9569983048208,886.0208284863874,29,15,14
2022-11-19,2023-05-18,2023-06-01,4015,298,0.5469798657718121,0.5492424242424242,0.9006211180124224,0.6823529411764706,886.0208284863874,884.4881585816852,27,15,12
2022-12-03,2023-06-01,2023-06-15,4004,296,0.5135135135135135,0.5394190871369294,0.7975460122699386,0.6435643564356436,884.4881585816852,881.3449140730813,24,12,12
2022-12-17,2023-06-15,2023-06-29,4002,303,0.5808580858085809,0.6688741721854304,0.5674157303370787,0.6139817629179332,881.3449140730813,885.644699062886,29,20,9
2022-12-31,2023-06-29,2023-07-13,4011,304,0.3980263157894737,0.4897959183673469,0.26519337016574585,0.34408602150537637,885.644699062886,873.7922485627496,27,8,19
2023-01-14,2023-07-13,2023-07-27,4016,292,0.5547945205479452,0.5230769230769231,0.7338129496402878,0.6107784431137725,873.7922485627496,868.2385402449745,21,8,13
2023-01-28,2023-07-27,2023-08-10,4017,297,0.5892255892255892,0.582089552238806,0.5416666666666666,0.5611510791366906,868.2385402449745,869.4650356036834,16,11,5
2023-02-11,2023-08-10,2023-08-24,4006,284,0.49295774647887325,0.425,0.7456140350877193,0.5414012738853503,869.4650356036834,864.6651590057824,17,7,10
2023-02-25,2023-08-24,2023-09-07,3997,287,0.5679442508710801,0.5539906103286385,0.8027210884353742,0.6555555555555556,864.6651590057824,862.206467453814,20,9,11
2023-03-11,2023-09-07,2023-09-21,3978,296,0.5574324324324325,0.55859375,0.8881987577639752,0.6858513189448441,862.206467453814,863.3335624269738,27,17,10
2023-03-25,2023-09-21,2023-10-05,3982,290,0.5862068965517241,0.6559139784946236,0.6853932584269663,0.6703296703296703,863.3335624269738,869.8815386506263,22,19,3
2023-04-08,2023-10-05,2023-10-19,3956,281,0.501779359430605,0.5422885572139303,0.6942675159235668,0.6089385474860335,869.8815386506263,865.3252414943042,22,10,12
2023-04-22,2023-10-19,2023-11-02,3935,303,0.43234323432343236,0.5535714285714286,0.17415730337078653,0.26495726495726496,865.3252414943042,858.515082598333,29,12,17
2023-05-06,2023-11-02,2023-11-16,3942,290,0.5241379310344828,0.8076923076923077,0.13636363636363635,0.23333333333333334,858.515082598333,853.4055566390294,29,13,16
2023-05-20,2023-11-16,2023-11-30,3939,290,0.4586206896551724,0.5333333333333333,0.10062893081761007,0.1693121693121693,853.4055566390294,848.0651614024882,29,13,16
2023-06-03,2023-11-30,2023-12-14,3921,297,0.4713804713804714,0.75,0.08982035928143713,0.16042780748663102,848.0651614024882,847.1844831256485,29,16,13
2023-06-17,2023-12-14,2023-12-28,3922,321,0.46417445482866043,0.47058823529411764,0.09411764705882353,0.1568627450980392,847.1844831256485,843.2390472178736,29,14,15
2023-07-01,2023-12-28,2024-01-11,3945,315,0.5301587301587302,0.5396825396825397,0.6257668711656442,0.5795454545454546,843.2390472178736,842.404449389095,29,16,13
2023-07-15,2024-01-11,2024-01-25,3952,291,0.48109965635738833,0.3873239436619718,0.46218487394957986,0.421455938697318,842.404449389095,836.628172606162,26,11,15
2023-07-29,2024-01-25,2024-02-08,3952,313,0.4984025559105431,0.5507246376811594,0.4444444444444444,0.4919093851132686,836.628172606162,834.5456288124218,28,15,13
2023-08-12,2024-02-08,2024-02-22,3973,307,0.43973941368078173,0.4935064935064935,0.2222222222222222,0.3064516129032258,834.5456288124218,830.5455289684312,29,14,15
2023-08-26,2024-02-22,2024-03-07,3994,309,0.4045307443365696,0.65625,0.10824742268041238,0.18584070796460178,830.5455289684312,820.1207858308329,28,11,17
2023-09-09,2024-03-07,2024-03-21,4023,302,0.5463576158940397,0.6122448979591837,0.20270270270270271,0.30456852791878175,820.1207858308329,821.2360598278775,29,17,12
2023-09-23,2024-03-21,2024-04-04,4028,316,0.4778481012658228,0.75,0.05263157894736842,0.09836065573770492,821.2360598278775,812.934252323978,29,12,17
2023-10-07,2024-04-04,2024-04-18,4047,304,0.40460526315789475,0.4069767441860465,0.7894736842105263,0.5370843989769821,812.934252323978,810.0795961498453,29,15,14
2023-10-21,2024-04-18,2024-05-02,4068,314,0.49044585987261147,0.45098039215686275,0.8518518518518519,0.5897435897435898,810.0795961498453,800.9926102374342,29,11,18
2023-11-04,2024-05-02,2024-05-16,4074,309,0.511326860841424,0.5292096219931272,0.9166666666666666,0.6710239651416122,800.9926102374342,799.2114256279724,29,15,14
2023-11-18,2024-05-16,2024-05-30,4098,309,0.5436893203883495,0.5418326693227091,0.8395061728395061,0.6585956416464891,799.2114256279724,791.1494652569895,28,11,17
2023-12-02,2024-05-30,2024-06-13,4121,276,0.5,0.4676258992805755,0.5038759689922481,0.48507462686567165,791.1494652569895,782.7443892921207,24,8,16
2023-12-16,2024-06-13,2024-06-27,4092,285,0.4982456140350877,0.4657534246575342,0.5112781954887218,0.4874551971326165,782.7443892921207,781.3238157576181,20,11,9
2023-12-30,2024-06-27,2024-07-11,4055,311,0.4758842443729904,0.4729064039408867,0.631578947368421,0.5408450704225352,781.3238157576181,778.477340150475,25,13,12
2024-01-13,2024-07-11,2024-07-25,4058,314,0.45222929936305734,0.5159817351598174,0.6312849162011173,0.5678391959798995,778.477340150475,776.4976580897662,29,15,14
2024-01-27,2024-07-25,2024-08-08,4076,314,0.46178343949044587,0.4375,0.6363636363636364,0.5185185185185185,776.4976580897662,768.5414365100993,29,12,17
2024-02-10,2024-08-08,2024-08-22,4081,300,0.44666666666666666,0.47802197802197804,0.5506329113924051,0.5117647058823529,768.5414365100993,757.1155228238192,29,10,19
2024-02-24,2024-08-22,2024-09-05,4070,299,0.5484949832775919,0.5350877192982456,0.8079470198675497,0.6437994722955145,757.1155228238192,750.9701146174732,21,8,13
2024-03-09,2024-09-05,2024-09-19,4066,311,0.5434083601286174,0.5532786885245902,0.8035714285714286,0.6553398058252428,750.9701146174732,750.9701146174732,0,0,0
2024-03-23,2024-09-19,2024-10-03,4070,312,0.4326923076923077,0.39759036144578314,0.46153846153846156,0.42718446601941745,750.9701146174732,750.9701146174732,0,0,0
2024-04-06,2024-10-03,2024-10-17,4072,303,0.44554455445544555,0.5384615384615384,0.5027624309392266,0.52,750.9701146174732,750.9701146174732,0,0,0
2024-04-20,2024-10-17,2024-10-31,4066,304,0.4473684210526316,0.4875,0.47560975609756095,0.48148148148148145,750.9701146174732,750.9701146174732,0,0,0
2024-05-04,2024-10-31,2024-11-14,4056,297,0.41414141414141414,0.39215686274509803,0.12269938650306748,0.18691588785046728,750.9701146174732,750.9701146174732,0,0,0
2024-05-18,2024-11-14,2024-11-28,4048,308,0.4642857142857143,0.3333333333333333,0.04430379746835443,0.0782122905027933,750.9701146174732,750.9701146174732,0,0,0
2024-06-01,2024-11-28,2024-12-12,4047,307,0.511400651465798,0.56,0.0915032679738562,0.15730337078651685,750.9701146174732,750.9701146174732,0,0,0
2024-06-15,2024-12-12,2024-12-26,4083,319,0.36990595611285265,0.3684210526315789,0.24561403508771928,0.29473684210526313,750.9701146174732,750.9701146174732,0,0,0
2024-06-29,2024-12-26,2025-01-09,4104,302,0.543046357615894,0.5294117647058824,0.5510204081632653,0.54,750.9701146174732,750.9701146174732,0,0,0
2024-07-13,2025-01-09,2025-01-23,4094,310,0.4838709677419355,0.5333333333333333,0.38095238095238093,0.4444444444444444,750.9701146174732,750.9701146174732,0,0,0
2024-07-27,2025-01-23,2025-02-06,4093,305,0.5377049180327869,0.5707317073170731,0.6882352941176471,0.624,750.9701146174732,750.9701146174732,0,0,0
2024-08-10,2025-02-06,2025-02-20,4084,297,0.5420875420875421,0.6336633663366337,0.39263803680981596,0.48484848484848486,750.9701146174732,750.9701146174732,0,0,0
2024-08-24,2025-02-20,2025-03-06,4081,303,0.43234323432343236,0.46078431372549017,0.6025641025641025,0.5222222222222223,750.9701146174732,750.9701146174732,0,0,0
2024-09-07,2025-03-06,2025-03-20,4086,304,0.5756578947368421,0.556,0.8853503184713376,0.683046683046683,750.9701146174732,750.9701146174732,0,0,0
2024-09-21,2025-03-20,2025-04-03,4079,305,0.4721311475409836,0.4714285714285714,0.9103448275862069,0.6211764705882353,750.9701146174732,750.9701146174732,0,0,0
2024-10-05,2025-04-03,2025-04-17,4070,306,0.5490196078431373,0.5725190839694656,0.8522727272727273,0.684931506849315,750.9701146174732,750.9701146174732,0,0,0
2024-10-19,2025-04-17,2025-05-01,4075,310,0.4935483870967742,0.5735294117647058,0.4406779661016949,0.4984025559105431,750.9701146174732,750.9701146174732,0,0,0
2024-11-02,2025-05-01,2025-05-15,4083,317,0.47003154574132494,0.46017699115044247,0.6933333333333334,0.5531914893617021,750.9701146174732,750.9701146174732,0,0,0
2024-11-16,2025-05-15,2025-05-29,4105,314,0.49044585987261147,0.5432098765432098,0.2634730538922156,0.3548387096774194,750.9701146174732,750.9701146174732,0,0,0
2024-11-30,2025-05-29,2025-06-12,4106,315,0.5650793650793651,0.6352941176470588,0.3375,0.44081632653061226,750.9701146174732,750.9701146174732,0,0,0
2024-12-14,2025-06-12,2025-06-26,4116,303,0.5115511551155115,0.5571428571428572,0.25,0.34513274336283184,750.9701146174732,750.9701146174732,0,0,0
2024-12-28,2025-06-26,2025-07-10,4109,293,0.5221843003412969,0.4953271028037383,0.381294964028777,0.43089430894308944,750.9701146174732,750.9701146174732,0,0,0
2025-01-11,2025-07-10,2025-07-24,4096,309,0.48220064724919093,0.5,0.08125,0.13978494623655913,750.9701146174732,750.9701146174732,0,0,0
2025-01-25,2025-07-24,2025-08-07,4091,308,0.564935064935065,1.0,0.028985507246376812,0.056338028169014086,750.9701146174732,750.9701146174732,0,0,0
2025-02-08,2025-08-07,2025-08-21,4095,307,0.5244299674267101,0.44776119402985076,0.2158273381294964,0.2912621359223301,750.9701146174732,750.9701146174732,0,0,0
2025-02-22,2025-08-21,2025-09-04,4106,309,0.44336569579288027,0.3735632183908046,0.5078125,0.4304635761589404,750.9701146174732,750.9701146174732,0,0,0
2025-03-08,2025-09-04,2025-09-18,4109,314,0.4840764331210191,0.5833333333333334,0.45161290322580644,0.509090909090909,750.9701146174732,750.9701146174732,0,0,0
2025-03-22,2025-09-18,2025-10-02,4128,308,0.4642857142857143,0.4772727272727273,0.39622641509433965,0.4329896907216495,750.9701146174732,750.9701146174732,0,0,0
2025-04-05,2025-10-02,2025-10-16,4123,297,0.4781144781144781,0.44,0.3076923076923077,0.36213991769547327,750.9701146174732,750.9701146174732,0,0,0
2025-04-19,2025-10-16,2025-10-30,4113,308,0.4805194805194805,0.48739495798319327,0.36942675159235666,0.42028985507246375,750.9701146174732,750.9701146174732,0,0,0
2025-05-03,2025-10-30,2025-11-13,4105,317,0.4952681388012618,0.4504950495049505,0.65,0.5321637426900585,750.9701146174732,750.9701146174732,0,0,0
2025-05-17,2025-11-13,2025-11-27,4107,302,0.37748344370860926,0.358974358974359,0.5263157894736842,0.4268292682926829,750.9701146174732,750.9701146174732,0,0,0
2025-05-31,2025-11-27,2025-12-11,4093,299,0.5250836120401338,0.5168539325842697,0.6216216216216216,0.5644171779141104,750.9701146174732,750.9701146174732,0,0,0
2025-06-14,2025-12-11,2025-12-25,4077,296,0.527027027027027,0.5060240963855421,0.8811188811188811,0.6428571428571429,750.9701146174732,750.9701146174732,0,0,0
2025-06-28,2025-12-25,2026-01-08,4074,298,0.5,0.5658914728682171,0.4397590361445783,0.49491525423728816,750.9701146174732,750.9701146174732,0,0,0
2025-07-12,2026-01-08,2026-01-22,4081,286,0.45454545454545453,0.4397905759162304,0.631578947368421,0.5185185185185185,750.9701146174732,750.9701146174732,0,0,0
2025-07-26,2026-01-22,2026-02-05,4055,300,0.49666666666666665,0.41899441340782123,0.6147540983606558,0.4983388704318937,750.9701146174732,750.9701146174732,0,0,0
2025-08-09,2026-02-05,2026-02-19,4043,310,0.5096774193548387,0.5352112676056338,0.8837209302325582,0.6666666666666666,750.9701146174732,750.9701146174732,0,0,0
2025-08-23,2026-02-19,2026-03-05,4045,307,0.4820846905537459,0.4740484429065744,0.9513888888888888,0.6327944572748267,750.9701146174732,750.9701146174732,0,0,0
2025-09-06,2026-03-05,2026-03-19,4047,305,0.4721311475409836,0.40789473684210525,0.2108843537414966,0.27802690582959644,750.9701146174732,750.9701146174732,0,0,0
2025-09-20,2026-03-19,2026-04-02,4039,301,0.47840531561461797,0.4658385093167702,0.5136986301369864,0.48859934853420195,750.9701146174732,750.9701146174732,0,0,0
2025-10-04,2026-04-02,2026-04-16,4035,302,0.45364238410596025,0.6125,0.2677595628415301,0.3726235741444867,750.9701146174732,750.9701146174732,0,0,0
2025-10-18,2026-04-16,2026-04-30,4045,315,0.4380952380952381,0.38823529411764707,0.2088607594936709,0.2716049382716049,750.9701146174732,750.9701146174732,0,0,0
2025-11-01,2026-04-30,2026-05-14,4043,308,0.4253246753246753,0.5862068965517241,0.09340659340659341,0.16113744075829384,750.9701146174732,750.9701146174732,0,0,0
2025-11-15,2026-05-14,2026-05-28,4031,312,0.5352564102564102,0.4764705882352941,0.5912408759124088,0.5276872964169381,750.9701146174732,750.9701146174732,0,0,0
2025-11-29,2026-05-28,2026-06-11,4047,305,0.4786885245901639,0.35858585858585856,0.6893203883495146,0.4717607973421927,750.9701146174732,750.9701146174732,0,0,0
2025-12-13,2026-06-11,2026-06-25,4059,314,0.5414012738853503,0.5416666666666666,0.7222222222222222,0.6190476190476191,750.9701146174732,750.9701146174732,0,0,0
2025-12-27,2026-06-25,2026-07-09,4075,306,0.45098039215686275,0.4900398406374502,0.754601226993865,0.5942028985507246,750.9701146174732,750.9701146174732,0,0,0
2026-01-10,2026-07-09,2026-07-23,4081,306,0.5686274509803921,0.6375,0.5795454545454546,0.6071428571428571,750.9701146174732,750.9701146174732,0,0,0
2026-01-24,2026-07-23,2026-07-24,4101,25,0.52,0.5294117647058824,0.6923076923076923,0.6,750.9701146174732,750.9701146174732,0,0,0
