window,ema_10,ema_30,rsi_14,macd,macd_signal,macd_diff,atr
2022-01-01,0.032817733,0.12379295,0.010584126,0.029178625,0.0049369214,0.020057185,0.019243855
2022-01-31,0.0318291,0.11608179,0.010577187,0.038367126,0.006370324,0.019749755,0.023468517
2022-03-02,0.030306855,0.12494983,0.010203393,0.032282565,0.005480951,0.019579431,0.023547102
2022-04-01,0.027327407,0.111621104,0.008842403,0.033725142,0.007880146,0.01646969,0.02430555
2022-05-01,0.028973475,0.1161677,0.011128258,0.032469433,0.006958318,0.018034691,0.022290358
2022-05-31,0.028236624,0.11500519,0.010171458,0.03268958,0.00926423,0.018733444,0.028147535
2022-06-30,0.021523573,0.113304876,0.011692791,0.03761611,0.012831758,0.017982854,0.02977239
2022-07-30,0.018158838,0.110152274,0.009923376,0.032760978,0.016421532,0.017415063,0.03954108
2022-08-29,0.015125181,0.11567814,0.010219287,0.031006487,0.011698031,0.017465208,0.042219866
2022-09-28,0.015556289,0.12031249,0.012047403,0.028215855,0.013187426,0.018339232,0.050391193
2022-10-28,0.017999858,0.11720763,0.008149004,0.03098182,0.012685871,0.018335655,0.043713946
2022-11-27,0.012380766,0.12055525,0.009945618,0.030142844,0.009534167,0.018481223,0.048934545
2022-12-27,0.011155614,0.12434607,0.014644433,0.03199795,0.005414589,0.018843094,0.049847364
2023-01-26,0.016108448,0.112904936,0.011401702,0.03335091,0.013527178,0.018377496,0.043066334
2023-02-25,0.020177709,0.115147226,0.01206162,0.036203746,0.012425644,0.017139774,0.036197357
2023-03-27,0.016787803,0.11418907,0.010580766,0.035057217,0.012168826,0.017599173,0.040705126
2023-04-26,0.017035438,0.11346727,0.009900568,0.03348681,0.014032719,0.01725581,0.039692234
2023-05-26,0.013529287,0.11923638,0.014121985,0.036558535,0.009385977,0.01831691,0.045136135
2023-06-25,0.0156831,0.119165495,0.00876599,0.029491337,0.013240817,0.018220877,0.04511762
2023-07-25,0.015647901,0.11953166,0.009597943,0.031327408,0.012887563,0.01779631,0.048368655
2023-08-24,0.012914763,0.122241326,0.009735821,0.031380508,0.008979903,0.018674044,0.046103705
2023-09-23,0.012851093,0.12245311,0.0119659575,0.031429056,0.009963642,0.018331006,0.04843478
2023-10-23,0.017698959,0.120145425,0.010551977,0.03525076,0.007597718,0.01835366,0.035913907
2023-11-22,0.021624936,0.118691325,0.010490283,0.037144337,0.008011184,0.017986069,0.03387612
2023-12-22,0.025835993,0.11828132,0.010035898,0.035487626,0.00705859,0.01828176,0.023945848
2024-01-21,0.022603296,0.122244276,0.011302523,0.03774313,0.0054291566,0.018872667,0.028517928
2024-02-20,0.030865882,0.10800248,0.013396111,0.040891357,0.0084674535,0.02280526,0.031302396
2024-03-21,0.039069794,0.12498567,0.013163902,0.03484916,0.0051238453,0.024378974,0.027600743
2024-04-20,0.03432511,0.12920779,0.009221566,0.033426832,0.006174808,0.021673422,0.021943223
2024-05-20,0.03132573,0.12452636,0.009590303,0.030121962,0.008774205,0.01967561,0.024556201
2024-06-19,0.033606622,0.1225547,0.010972069,0.03627093,0.0050077923,0.020990035,0.023414783
2024-07-19,0.03894501,0.12692465,0.011562422,0.03133139,0.0047628256,0.02350521,0.030095931
2024-08-18,0.031815954,0.12237789,0.00854822,0.03223091,0.005375622,0.020655522,0.022596005
2024-09-17,0.030903896,0.12622672,0.00997812,0.037652295,0.0040806816,0.019732645,0.02722544
2024-10-17,0.027407259,0.100460485,0.011254778,0.041818768,0.0090682665,0.01854549,0.03244556
2024-11-16,0.019793982,0.022377292,0.01737176,0.008803946,0.008267962,0.012445655,0.022351984
2024-12-16,0.018367983,0.023020899,0.021883432,0.011757464,0.00789434,0.012878362,0.02092698
2025-01-15,0.014188181,0.026007174,0.020947456,0.010236307,0.008499766,0.013343118,0.02766003
2025-02-14,0.022993501,0.033778463,0.017879521,0.017238392,0.009920089,0.01620093,0.030734537
2025-03-16,0.02370149,0.049041167,0.01654739,0.018670056,0.0056995223,0.016853938,0.03369896
2025-04-15,0.015426937,0.017722286,0.013215217,0.010065385,0.008416286,0.013747495,0.027495021
2025-05-15,0.010488647,0.0312985,0.012747014,0.011653797,0.0063136728,0.013183119,0.029516209
2025-06-14,0.007886342,0.028602017,0.013600575,0.0147227915,0.0062083513,0.0155697595,0.04131456
2025-07-14,0.031221794,0.06607905,0.017206969,0.017362354,0.0053112414,0.013128973,0.033630416
2025-08-13,0.0154848015,0.042630196,0.011865718,0.017014826,0.0057205227,0.013216294,0.04138192
2025-09-12,0.03250062,0.057690147,0.01699317,0.016232032,0.009672982,0.011015713,0.042954292
2025-10-12,0.011499971,0.0402496,0.015309665,0.012802039,0.0075290515,0.011926008,0.044015586
2025-11-11,0.024224645,0.024676671,0.020254139,0.009927256,0.008892382,0.013309068,0.021770008
2025-12-11,0.023717526,0.015963286,0.01978268,0.011512055,0.008194594,0.01471733,0.026290387
2026-01-10,0.024390789,0.040570877,0.016434997,0.013841149,0.008293717,0.017911343,0.032703333
2026-02-09,0.040043123,0.12008809,0.014441961,0.03542068,0.0045789857,0.021790951,0.03279269
2026-03-11,0.0367871,0.13080429,0.01099842,0.031139718,0.0038308504,0.020036422,0.02691219
