feature,mean_importance,std_importance,max_importance,min_importance,stability_ratio
ema_30,0.00211428571428571,0.02324163562173768,0.07919999999999996,-0.023799999999999998,10.992660297536622
volume,-7.14285714285889e-05,0.0027317023633986557,0.004199999999999959,-0.006700000000000017,38.243297681404286
macd_diff,-0.0002928571428571575,0.005536239251960209,0.007599999999999951,-0.015999999999999993,18.904167041244015
rsi_14,-0.0005214285714285853,0.004440405139421147,0.008699999999999953,-0.010299999999999998,8.515829141135127
macd_signal,-0.0007357142857143085,0.0026988906960103078,0.004299999999999959,-0.005700000000000038,3.668390134629248
ret_tp_short,-0.0008714285714285944,0.003717200884749487,0.005299999999999949,-0.008400000000000029,4.265635464556962
macd,-0.0010857142857143081,0.0035298413873402633,0.007199999999999951,-0.008600000000000052,3.2511667043703163
ema_10,-0.0013357142857142992,0.013586113223710167,0.04039999999999995,-0.018700000000000015,10.17141404984726
ret_tp_long,-0.0013642857142857378,0.0039939583493951575,0.00599999999999995,-0.010500000000000042,2.927506591960155
ret_sl_short,-0.0015785714285714515,0.0035710758067538243,0.0043999999999999595,-0.010100000000000043,2.262218534999698
ret_sl_long,-0.0016214285714285857,0.003973213884430158,0.004699999999999959,-0.01050000000000002,2.450438769862509
atr,-0.0021214285714285922,0.009468342278060364,0.013999999999999957,-0.030799999999999984,4.463189542363307
high,-0.0024500000000000207,0.00577857448484686,0.0033999999999999586,-0.02020000000000004,2.358600867855487
low,-0.002485714285714303,0.004653015092448064,0.0029999999999999584,-0.013000000000000057,1.8719018703346626
close,-0.002500000000000022,0.005481858191413683,0.0037999999999999813,-0.02000000000000004,2.192742399468494
open,-0.0027642857142857295,0.006088021927441709,0.004799999999999982,-0.01740000000000006,2.202384396661548
