slice,acc,precision,recall,f1
0,0.756,0.0,0.0,0.0
1,0.787,0.0,0.0,0.0
2,0.697,0.0,0.0,0.0
3,0.721,0.0,0.0,0.0
4,0.708,0.0,0.0,0.0
5,0.732,0.0,0.0,0.0
6,0.691,0.0,0.0,0.0
7,0.758,0.0,0.0,0.0
8,0.663,0.36486486486486486,0.18181818181818182,0.24269662921348314
9,0.71,0.0,0.0,0.0
10,0.742,0.0,0.0,0.0
11,0.673,0.5384615384615384,0.021341463414634148,0.04105571847507331
12,0.741,0.0,0.0,0.0
13,0.733,0.0,0.0,0.0
14,0.731,0.0,0.0,0.0
15,0.748,0.0,0.0,0.0
16,0.683,0.125,0.003215434083601286,0.006269592476489028
17,0.707,0.0,0.0,0.0
18,0.748,0.0,0.0,0.0
19,0.74,0.0,0.0,0.0
20,0.672,0.2235294117647059,0.06761565836298933,0.10382513661202186
21,0.72,0.0,0.0,0.0
22,0.798,0.0,0.0,0.0
23,0.722,0.0,0.0,0.0
24,0.779,0.0,0.0,0.0
25,0.744,0.0,0.0,0.0
26,0.804,0.0,0.0,0.0
27,0.704,0.0,0.0,0.0
