metric,value
global_winrate,0.6479457218243498
avg_win_streak,17.943632567849686
max_win_streak,120.0
avg_loss_streak,9.749478079331942
max_loss_streak,52.0
winrate_after_win,0.9443797998603677
winrate_after_loss,0.1025695931477516
winrate_after_2wins,0.9410967344423906
winrate_after_2losses,0.11429253161536626
acf_lag1,0.8511193255291147
acf_lag2,0.7022086436369327
acf_lag5,0.30488867351988597
acf_lag10,0.06900852171667105
best_cluster_50,0.03363544128962342
worst_cluster_50,-0.006708324715688733
