train_start,train_end,test_end,n_train,n_test,acc,precision,recall,f1,equity_start,equity_end,trades,wins,losses
2022-01-01,2022-06-30,2022-07-14,3727,289,0.5501730103806228,0.3333333333333333,0.5476190476190477,0.4144144144144144,1000.0,1039.8843104094112,30,19,11
2022-01-15,2022-07-14,2022-07-28,3746,301,0.6943521594684385,1.0,0.02127659574468085,0.041666666666666664,1039.8843104094112,1075.0471108600289,30,18,12
2022-01-29,2022-07-28,2022-08-11,3762,298,0.6644295302013423,0.34285714285714286,0.1348314606741573,0.1935483870967742,1075.0471108600289,1101.0335158110843,30,16,14
2022-02-12,2022-08-11,2022-08-25,3776,287,0.6550522648083623,0.2,0.08974358974358974,0.12389380530973451,1101.0335158110843,1128.6588823028058,29,17,12
2022-02-26,2022-08-25,2022-09-08,3785,300,0.5933333333333334,0.2796610169491525,0.4714285714285714,0.35106382978723405,1128.6588823028058,1154.3818831151486,30,16,14
2022-03-12,2022-09-08,2022-09-22,3815,283,0.6819787985865724,0.4533333333333333,0.40963855421686746,0.43037974683544306,1154.3818831151486,1202.8459565822232,29,21,8
2022-03-26,2022-09-22,2022-10-06,3813,296,0.5202702702702703,0.34196891191709844,0.8148148148148148,0.48175182481751827,1202.8459565822232,1218.552146150676,30,15,15
2022-04-09,2022-10-06,2022-10-20,3828,277,0.5054151624548736,0.2088607594936709,0.7333333333333333,0.3251231527093596,1218.552146150676,1244.091788686415,30,18,12
2022-04-23,2022-10-20,2022-11-03,3845,273,0.5384615384615384,0.22950819672131148,0.4666666666666667,0.3076923076923077,1244.091788686415,1269.5439864476573,30,18,12
2022-05-07,2022-11-03,2022-11-17,3850,285,0.49122807017543857,0.1476510067114094,0.55,0.2328042328042328,1269.5439864476573,1280.7098984269187,30,13,17
2022-05-21,2022-11-17,2022-12-01,3857,294,0.6054421768707483,0.26582278481012656,0.26582278481012656,0.26582278481012656,1280.7098984269187,1302.1367052359087,30,18,12
2022-06-04,2022-12-01,2022-12-15,3877,281,0.5444839857651246,0.28169014084507044,0.20618556701030927,0.23809523809523808,1302.1367052359087,1322.507707525211,30,19,11
2022-06-18,2022-12-15,2022-12-29,3866,267,0.8202247191011236,1.0,0.04,0.07692307692307693,1322.507707525211,1357.3531365266701,29,25,4
2022-07-02,2022-12-29,2023-01-12,3837,278,0.6870503597122302,0.8,0.08602150537634409,0.1553398058252427,1357.3531365266701,1376.0055364421285,30,21,9
2022-07-16,2023-01-12,2023-01-26,3823,269,0.5241635687732342,0.2542372881355932,0.15151515151515152,0.189873417721519,1376.0055364421285,1401.8430026763585,30,16,14
2022-07-30,2023-01-26,2023-02-09,3795,298,0.6644295302013423,0.37209302325581395,0.41025641025641024,0.3902439024390244,1401.8430026763585,1446.465623695516,30,23,7
2022-08-13,2023-02-09,2023-02-23,3782,274,0.6496350364963503,1.0,0.010309278350515464,0.02040816326530612,1446.465623695516,1484.6538797670275,30,21,9
2022-08-27,2023-02-23,2023-03-09,3768,287,0.7491289198606271,0.14814814814814814,0.07547169811320754,0.1,1484.6538797670275,1542.534444035622,30,27,3
2022-09-10,2023-03-09,2023-03-23,3765,261,0.5938697318007663,0.2,0.009708737864077669,0.018518518518518517,1542.534444035622,1588.0425096309264,28,20,8
2022-09-24,2023-03-23,2023-04-06,3741,287,0.6376306620209059,0.2413793103448276,0.1891891891891892,0.21212121212121213,1588.0425096309264,1626.3291473116283,30,19,11
2022-10-08,2023-04-06,2023-04-20,3736,289,0.615916955017301,0.3695652173913043,0.39080459770114945,0.37988826815642457,1626.3291473116283,1672.3113123089265,30,24,6
2022-10-22,2023-04-20,2023-05-04,3751,275,0.46545454545454545,0.20833333333333334,0.3246753246753247,0.25380710659898476,1672.3113123089265,1695.6287401938926,30,15,15
2022-11-05,2023-05-04,2023-05-18,3748,287,0.6411149825783972,0.26605504587155965,0.5576923076923077,0.36024844720496896,1695.6287401938926,1736.693189956919,30,20,10
2022-11-19,2023-05-18,2023-06-01,3746,292,0.5171232876712328,0.3768844221105528,0.8152173913043478,0.5154639175257731,1736.693189956919,1743.0529150017899,30,13,17
2022-12-03,2023-06-01,2023-06-15,3745,273,0.4432234432234432,0.3415841584158416,0.7840909090909091,0.47586206896551725,1743.0529150017899,1764.8814294761369,30,16,14
2022-12-17,2023-06-15,2023-06-29,3736,283,0.558303886925795,0.34,0.3655913978494624,0.35233160621761656,1764.8814294761369,1788.6914135266322,30,16,14
2022-12-31,2023-06-29,2023-07-13,3761,267,0.651685393258427,0.2857142857142857,0.09876543209876543,0.14678899082568808,1788.6914135266322,1807.9993356064829,30,16,14
2023-01-14,2023-07-13,2023-07-27,3749,273,0.6336996336996337,0.30864197530864196,0.36231884057971014,0.3333333333333333,1807.9993356064829,1841.7419733582483,28,21,7
2023-01-28,2023-07-27,2023-08-10,3751,277,0.6606498194945848,0.328125,0.2916666666666667,0.3088235294117647,1841.7419733582483,1888.8526167265313,28,26,2
2023-02-11,2023-08-10,2023-08-24,3735,279,0.7096774193548387,0.2,0.30952380952380953,0.24299065420560748,1888.8526167265313,1939.4883114931135,26,23,3
2023-02-25,2023-08-24,2023-09-07,3742,256,0.640625,0.38202247191011235,0.4788732394366197,0.425,1939.4883114931135,1974.9616800508936,29,22,7
2023-03-11,2023-09-07,2023-09-21,3703,283,0.48056537102473496,0.2072072072072072,0.2804878048780488,0.23834196891191708,1974.9616800508936,1984.9484314911563,30,13,17
2023-03-25,2023-09-21,2023-10-05,3733,259,0.6138996138996139,0.3333333333333333,0.3333333333333333,0.3333333333333333,1984.9484314911563,2017.8949101547717,30,21,9
2023-04-08,2023-10-05,2023-10-19,3706,257,0.5603112840466926,0.25,0.3188405797101449,0.2802547770700637,2017.8949101547717,2037.1122533461378,30,17,13
2023-04-22,2023-10-19,2023-11-02,3673,286,0.6468531468531469,0.21428571428571427,0.03225806451612903,0.056074766355140186,2037.1122533461378,2077.898586720652,30,20,10
2023-05-06,2023-11-02,2023-11-16,3678,274,0.708029197080292,0.0,0.0,0.0,2077.898586720652,2126.922223813544,30,22,8
2023-05-20,2023-11-16,2023-11-30,3680,275,0.7054545454545454,0.0,0.0,0.0,2126.922223813544,2167.9911694202456,30,21,9
2023-06-03,2023-11-30,2023-12-14,3656,273,0.6446886446886447,0.2857142857142857,0.02127659574468085,0.039603960396039604,2167.9911694202456,2227.3945554662055,30,24,6
2023-06-17,2023-12-14,2023-12-28,3651,290,0.7344827586206897,0.0,0.0,0.0,2227.3945554662055,2267.92742063398,30,20,10
2023-07-01,2023-12-28,2024-01-11,3669,299,0.6421404682274248,0.3898305084745763,0.24468085106382978,0.3006535947712418,2267.92742063398,2351.5971662016445,30,26,4
2023-07-15,2024-01-11,2024-01-25,3697,270,0.6407407407407407,0.1595744680851064,0.45454545454545453,0.23622047244094488,2351.5971662016445,2413.1713080012496,30,22,8
2023-07-29,2024-01-25,2024-02-08,3696,292,0.6678082191780822,0.5,0.28865979381443296,0.3660130718954248,2413.1713080012496,2458.88905926001,29,19,10
2023-08-12,2024-02-08,2024-02-22,3712,285,0.6456140350877193,0.3333333333333333,0.08602150537634409,0.13675213675213677,2458.88905926001,2510.3056415623882,29,19,10
2023-08-26,2024-02-22,2024-03-07,3720,274,0.635036496350365,0.6666666666666666,0.11320754716981132,0.1935483870967742,2510.3056415623882,2559.725153226762,29,19,10
2023-09-09,2024-03-07,2024-03-21,3734,279,0.6917562724014337,0.1111111111111111,0.046153846153846156,0.06521739130434782,2559.725153226762,2646.024884072567,30,22,8
2023-09-23,2024-03-21,2024-04-04,3727,285,0.7263157894736842,0.0,0.0,0.0,2646.024884072567,2754.1767569668446,30,25,5
2023-10-07,2024-04-04,2024-04-18,3753,278,0.4676258992805755,0.23376623376623376,0.5454545454545454,0.32727272727272727,2754.1767569668446,2807.0003150803595,30,17,13
2023-10-21,2024-04-18,2024-05-02,3771,293,0.5290102389078498,0.2606060606060606,0.7288135593220338,0.38392857142857145,2807.0003150803595,2833.8479894774414,30,13,17
2023-11-04,2024-05-02,2024-05-16,3772,275,0.3709090909090909,0.2774869109947644,0.6022727272727273,0.37992831541218636,2833.8479894774414,2864.2804563585278,28,14,14
2023-11-18,2024-05-16,2024-05-30,3781,291,0.5876288659793815,0.35036496350364965,0.6075949367088608,0.4444444444444444,2864.2804563585278,2921.05310620639,30,18,12
2023-12-02,2024-05-30,2024-06-13,3797,267,0.6142322097378277,0.35051546391752575,0.4594594594594595,0.39766081871345027,2921.05310620639,2937.3464312764013,30,13,17
2023-12-16,2024-06-13,2024-06-27,3783,264,0.7310606060606061,0.2777777777777778,0.18181818181818182,0.21978021978021978,2937.3464312764013,3022.7667911214116,30,24,6
2023-12-30,2024-06-27,2024-07-11,3755,278,0.5611510791366906,0.16129032258064516,0.2542372881355932,0.19736842105263158,3022.7667911214116,3066.8372546999108,30,17,13
2024-01-13,2024-07-11,2024-07-25,3742,296,0.5033783783783784,0.2558139534883721,0.20952380952380953,0.23036649214659685,3066.8372546999108,3139.956963793239,30,19,11
2024-01-27,2024-07-25,2024-08-08,3764,285,0.6175438596491228,0.12162162162162163,0.16981132075471697,0.14173228346456693,3139.956963793239,3259.417009371196,29,21,8
2024-02-10,2024-08-08,2024-08-22,3754,274,0.635036496350365,0.30434782608695654,0.17073170731707318,0.21875,3259.417009371196,3370.8360754746527,30,22,8
2024-02-24,2024-08-22,2024-09-05,3743,290,0.6275862068965518,0.34951456310679613,0.4675324675324675,0.4,3370.8360754746527,3459.3900709244067,30,20,10
2024-03-09,2024-09-05,2024-09-19,3772,280,0.45714285714285713,0.19852941176470587,0.38571428571428573,0.2621359223300971,3459.3900709244067,3535.3765260346136,29,17,12
2024-03-23,2024-09-19,2024-10-03,3767,292,0.5958904109589042,0.0967741935483871,0.08823529411764706,0.09230769230769231,3535.3765260346136,3593.44796925075,30,17,13
2024-04-06,2024-10-03,2024-10-17,3779,279,0.5985663082437276,0.20833333333333334,0.11904761904761904,0.15151515151515152,3593.44796925075,3660.0948583850013,30,18,12
2024-04-20,2024-10-17,2024-10-31,3772,296,0.5675675675675675,0.2222222222222222,0.0970873786407767,0.13513513513513514,3660.0948583850013,3748.2117289897133,30,20,10
2024-05-04,2024-10-31,2024-11-14,3776,281,0.6405693950177936,0.3333333333333333,0.041237113402061855,0.07339449541284404,3748.2117289897133,3843.125677261134,29,19,10
2024-05-18,2024-11-14,2024-11-28,3788,281,0.7188612099644128,0.1111111111111111,0.013888888888888888,0.024691358024691357,3843.125677261134,3961.167846138198,30,22,8
2024-06-01,2024-11-28,2024-12-12,3777,282,0.6843971631205674,1.0,0.011111111111111112,0.02197802197802198,3961.167846138198,4048.461629750401,29,19,10
2024-06-15,2024-12-12,2024-12-26,3798,288,0.7465277777777778,0.3333333333333333,0.028169014084507043,0.05194805194805195,4048.461629750401,4208.640002483806,30,24,6
2024-06-29,2024-12-26,2025-01-09,3814,289,0.5709342560553633,0.29,0.35365853658536583,0.31868131868131866,4208.640002483806,4274.072902517413,30,16,14
2024-07-13,2025-01-09,2025-01-23,3813,291,0.5773195876288659,0.2903225806451613,0.18556701030927836,0.22641509433962265,4274.072902517413,4378.450511745613,30,18,12
2024-07-27,2025-01-23,2025-02-06,3820,265,0.6641509433962264,0.20833333333333334,0.16393442622950818,0.1834862385321101,4378.450511745613,4550.671151856146,30,23,7
2024-08-10,2025-02-06,2025-02-20,3794,263,0.7110266159695817,0.2619047619047619,0.19642857142857142,0.22448979591836735,4550.671151856146,4699.9549529868045,28,24,4
2024-08-24,2025-02-20,2025-03-06,3785,264,0.5340909090909091,0.21568627450980393,0.3384615384615385,0.2634730538922156,4699.9549529868045,4755.64110853597,30,16,14
2024-09-07,2025-03-06,2025-03-20,3757,286,0.3811188811188811,0.2535885167464115,0.7162162162162162,0.3745583038869258,4755.64110853597,4746.580212877609,30,9,21
2024-09-21,2025-03-20,2025-04-03,3764,287,0.3693379790940767,0.2631578947368421,0.821917808219178,0.39867109634551495,4746.580212877609,4709.057018596043,30,8,22
2024-10-05,2025-04-03,2025-04-17,3762,275,0.44727272727272727,0.3064516129032258,0.7125,0.42857142857142855,4709.057018596043,4711.3889919611765,28,10,18
2024-10-19,2025-04-17,2025-05-01,3754,304,0.6414473684210527,0.4772727272727273,0.4,0.43523316062176165,4711.3889919611765,4777.83051144361,30,17,13
2024-11-02,2025-05-01,2025-05-15,3762,294,0.6326530612244898,0.3048780487804878,0.32894736842105265,0.31645569620253167,4777.83051144361,4899.59066895184,30,22,8
2024-11-16,2025-05-15,2025-05-29,3777,282,0.6985815602836879,0.22580645161290322,0.10294117647058823,0.1414141414141414,4899.59066895184,5060.640879921043,30,23,7
2024-11-30,2025-05-29,2025-06-12,3770,302,0.6688741721854304,0.26666666666666666,0.043010752688172046,0.07407407407407407,5060.640879921043,5202.2628277065205,30,24,6
2024-12-14,2025-06-12,2025-06-26,3800,260,0.7038461538461539,0.125,0.03076923076923077,0.04938271604938271,5202.2628277065205,5368.106656808741,30,25,5
2024-12-28,2025-06-26,2025-07-10,3780,288,0.6875,0.18181818181818182,0.05263157894736842,0.08163265306122448,5368.106656808741,5438.402102285483,30,20,10
2025-01-11,2025-07-10,2025-07-24,3772,284,0.7535211267605634,0.0,0.0,0.0,5438.402102285483,5530.613451593605,30,18,12
2025-01-25,2025-07-24,2025-08-07,3775,277,0.7978339350180506,0.5,0.017857142857142856,0.034482758620689655,5530.613451593605,5657.710618990955,30,23,7
2025-02-08,2025-08-07,2025-08-21,3778,288,0.7638888888888888,0.0,0.0,0.0,5657.710618990955,5781.305078555897,30,21,9
